Tanggal,TN,TX,TAVG,RH_AVG,SS,FF_X,FF_AVG,RR,DDD_X_sin,DDD_X_cos,month_sin,month_cos
1998-12-31,23.677419354838708,30.625806451612902,26.37741935483871,88.41935483870968,2.2451612903225806,1.7225806451612902,1.320967741935484,322.57,-0.552972116894547,0.6308499737452916,-2.4492935982947064e-16,1.0
1999-01-31,23.806451612903224,30.33225806451613,26.374193548387098,87.06451612903226,1.9387096774193548,1.8825806451612903,1.4122580645161291,361.85,-0.5112658840295968,0.678090815489397,0.49999999999999994,0.8660254037844387
1999-02-28,23.928571428571427,30.742857142857144,26.139285714285712,87.53571428571429,3.2285714285714286,1.9960714285714285,1.4839285714285713,166.01999999999998,-0.3492205211804295,0.7089015144613391,0.8660254037844386,0.5000000000000001
1999-03-31,23.870967741935484,31.54516129032258,26.580645161290324,85.64516129032258,3.041935483870968,1.3945161290322579,1.0729032258064515,341.23,-0.3287867146911329,0.6135746864571389,1.0,6.123233995736766e-17
1999-04-30,24.3,32.51,27.66,81.03333333333333,4.02,1.369,1.0873333333333333,180.36,-0.17475468957064286,0.013807118745769759,0.8660254037844387,-0.4999999999999998
1999-05-31,24.096774193548388,31.94193548387097,27.151612903225807,82.54838709677419,3.8451612903225807,1.2183870967741937,0.8338709677419355,171.36,0.6285574636851152,3.8527100628611725e-17,0.49999999999999994,-0.8660254037844387
1999-06-30,23.833333333333332,31.92,27.016666666666666,81.1,4.693333333333333,1.43,0.981,139.74,0.35118446353109134,-0.5926058197684008,1.2246467991473532e-16,-1.0
1999-07-31,23.161290322580644,31.067741935483873,26.448387096774194,80.19354838709677,4.567741935483871,1.6419354838709677,1.1861290322580647,161.2,0.5412314384855492,-0.5145079828485752,-0.4999999999999997,-0.8660254037844388
1999-08-31,23.387096774193548,32.26774193548387,26.74516129032258,79.06451612903226,6.054838709677419,1.7519354838709678,1.255483870967742,59.04,0.8260194102515552,-0.2831669223565168,-0.8660254037844385,-0.5000000000000004
1999-09-30,23.2,32.53,26.796666666666667,80.0,5.430000000000001,1.8606666666666667,1.349,84.64,0.7582523909382972,-0.3616216656780122,-1.0,-1.8369701987210297e-16
1999-10-31,23.451612903225808,31.729032258064517,26.56451612903226,87.70967741935483,4.716129032258064,1.3558064516129034,1.0077419354838708,232.85,0.203226156813034,-0.10946885510510775,-0.8660254037844386,0.5000000000000001
1999-11-30,23.533333333333335,31.376666666666665,26.746666666666666,88.83333333333333,4.316666666666666,1.491,1.1563333333333332,331.18,-0.4911560088027055,-0.013495476666154365,-0.5000000000000004,0.8660254037844384
1999-12-31,23.806451612903224,30.48709677419355,26.229032258064517,89.45161290322581,2.925806451612903,1.9832258064516128,1.4983870967741937,280.12,-0.6306564851874472,0.4168598252423112,-2.4492935982947064e-16,1.0
2000-01-31,23.451612903225808,30.203225806451613,25.82903225806452,90.19354838709677,2.9129032258064513,1.929032258064516,1.4203225806451614,208.04,-0.4161127398906991,0.7142624394751919,0.49999999999999994,0.8660254037844387
2000-02-29,23.24137931034483,31.23793103448276,26.362068965517242,88.0,4.179310344827586,1.8303448275862069,1.3548275862068966,160.89000000000001,-0.40022764544131784,0.7332226195617445,0.8660254037844386,0.5000000000000001
2000-03-31,23.64516129032258,31.932258064516127,26.825806451612905,89.48387096774194,3.206451612903226,1.4422580645161291,1.062258064516129,177.05,-0.4350090765883411,0.5585067257737018,1.0,6.123233995736766e-17
2000-04-30,23.666666666666668,32.03,26.796666666666667,88.43333333333334,4.483333333333333,1.09,0.837,345.14,-0.32593915310173416,0.31213203435596415,0.8660254037844387,-0.4999999999999998
2000-05-31,24.387096774193548,32.670967741935485,27.758064516129032,86.61290322580645,5.603225806451612,1.2483870967741937,0.8874193548387097,198.03,0.22775837654437806,-0.22969867089978105,0.49999999999999994,-0.8660254037844387
2000-06-30,23.666666666666668,30.98,26.53666666666667,90.13333333333334,3.5533333333333332,1.3353333333333335,0.9666666666666667,181.62,0.3210024799668315,-0.17142625365621794,1.2246467991473532e-16,-1.0
2000-07-31,23.677419354838708,31.516129032258064,26.848387096774193,88.38709677419355,5.170967741935484,1.6141935483870968,1.1819354838709677,94.83,0.724249670884744,-0.3566957401500247,-0.4999999999999997,-0.8660254037844388
2000-08-31,23.096774193548388,31.56451612903226,26.432258064516127,86.87096774193549,5.703225806451614,1.8077419354838709,1.3393548387096774,118.89,0.5684289754805171,-0.4160620983278223,-0.8660254037844385,-0.5000000000000004
2000-09-30,23.133333333333333,32.766666666666666,26.696666666666665,82.23333333333333,5.573333333333333,1.9473333333333334,1.4349999999999998,56.38,0.7621739824674,-0.3159788734079091,-1.0,-1.8369701987210297e-16
2000-10-31,23.387096774193548,32.229032258064514,27.219354838709677,83.51612903225806,4.664516129032258,1.5564516129032258,1.2490322580645161,219.96,-0.05411236824075508,0.10252202267996624,-0.8660254037844386,0.5000000000000001
2000-11-30,23.733333333333334,31.646666666666665,26.82,85.9,3.6166666666666667,1.5696666666666668,1.213666666666667,216.66,-0.639746271847504,0.05690355937288478,-0.5000000000000004,0.8660254037844384
2000-12-31,23.741935483870968,30.835483870967742,26.53548387096774,88.3225806451613,4.038709677419355,1.5538709677419356,1.1887096774193548,333.48,-0.663108038261421,0.5663338447130335,-2.4492935982947064e-16,1.0
2001-01-31,23.387096774193548,30.548387096774192,26.225806451612904,88.54838709677419,2.92258064516129,1.7093548387096775,1.2551612903225806,330.5,-0.3704929475560831,0.6230228548059599,0.49999999999999994,0.8660254037844387
2001-02-28,23.785714285714285,31.164285714285715,26.589285714285715,85.75,3.935714285714286,2.072857142857143,1.5160714285714287,177.3,-0.7027739117737033,0.6670596260594172,0.8660254037844386,0.5000000000000001
2001-03-31,23.322580645161292,31.961290322580645,26.84193548387097,84.16129032258064,4.141935483870968,1.502258064516129,1.1187096774193548,159.54,-0.18247916933846398,0.518421542318241,1.0,6.123233995736766e-17
2001-04-30,23.8,32.36666666666667,27.34,84.46666666666667,4.7266666666666675,1.1843333333333335,0.8833333333333333,328.23,-0.19832491561019447,0.18451779686442454,0.8660254037844387,-0.4999999999999998
2001-05-31,24.419354838709676,32.148387096774194,27.44193548387097,86.16129032258064,5.187096774193549,1.2561290322580645,0.8570967741935483,96.78,0.5829376713504992,-0.31151142740298,0.49999999999999994,-0.8660254037844387
2001-06-30,23.766666666666666,31.746666666666666,27.13,81.43333333333334,4.8933333333333335,1.3116666666666668,0.9656666666666667,95.78,0.5299831645537222,-0.5575974020452619,1.2246467991473532e-16,-1.0
2001-07-31,23.451612903225808,32.31290322580645,27.212903225806453,78.61290322580645,5.825806451612903,1.6451612903225807,1.1587096774193548,31.19,0.6575734293822657,-0.6898314938983947,-0.4999999999999997,-0.8660254037844388
2001-08-31,24.096774193548388,32.20967741935484,27.438709677419357,78.38709677419355,4.767741935483872,1.7158064516129032,1.2609677419354839,90.81,0.6308499737452918,-0.5340757801969046,-0.8660254037844385,-0.5000000000000004
2001-09-30,23.266666666666666,32.14666666666667,26.993333333333332,78.6,4.6866666666666665,1.701,1.2106666666666668,130.81,0.6145009614181468,-0.48688672392660703,-1.0,-1.8369701987210297e-16
2001-10-31,23.870967741935484,31.883870967741935,27.029032258064515,83.87096774193549,4.203225806451614,1.3741935483870968,1.0248387096774194,416.85,-1.7906822977825105e-17,-0.10460131248771892,-0.8660254037844386,0.5000000000000001
2001-11-30,23.5,31.259999999999998,26.58,85.26666666666667,3.6199999999999997,1.5203333333333333,1.195,237.29,-0.2592724864350675,0.3121320343559642,-0.5000000000000004,0.8660254037844384
2001-12-31,23.516129032258064,30.690322580645162,26.219354838709677,86.70967741935483,3.674193548387097,1.742258064516129,1.3316129032258064,338.45,-0.6158671965173157,0.7448994545818315,-2.4492935982947064e-16,1.0
2002-01-31,23.774193548387096,30.351612903225806,25.925806451612903,87.48387096774194,3.4129032258064513,2.4048387096774193,1.8029032258064517,278.32,-0.351596610858441,0.7598822318098079,0.49999999999999994,0.8660254037844387
2002-02-28,23.642857142857142,31.142857142857142,26.514285714285712,83.60714285714286,4.307142857142857,2.389642857142857,1.82,137.18,-0.4397753035351702,0.7759972164770661,0.8660254037844386,0.5000000000000001
2002-03-31,23.806451612903224,31.92258064516129,26.883870967741935,85.12903225806451,3.2193548387096773,1.6125806451612903,1.1470967741935485,351.64,-0.2564434667195431,0.651367359852423,1.0,6.123233995736766e-17
2002-04-30,24.066666666666666,32.49,27.246666666666666,84.66666666666667,4.203333333333333,1.23,0.8913333333333333,216.03,0.48856180831641266,0.11952621458756352,0.8660254037844387,-0.4999999999999998
2002-05-31,24.419354838709676,32.51935483870968,27.796774193548387,83.09677419354838,3.9096774193548387,1.3458064516129031,0.9493548387096774,100.49,0.5545931663040361,-0.34214844250961973,0.49999999999999994,-0.8660254037844387
2002-06-30,24.033333333333335,32.54333333333333,27.543333333333333,81.3,3.6933333333333334,1.4020000000000001,1.054,48.95,0.6380711874576984,-0.5242640687119284,1.2246467991473532e-16,-1.0
2002-07-31,24.193548387096776,32.65161290322581,27.403225806451612,81.90322580645162,4.019354838709678,1.7335483870967743,1.272258064516129,251.78,0.6803833255495737,-0.6614869888519315,-0.4999999999999997,-0.8660254037844388
2002-08-31,24.258064516129032,33.961290322580645,27.925806451612903,71.6774193548387,4.806451612903226,1.8893548387096775,1.369032258064516,20.119999999999997,0.7071067811865476,-0.7071067811865475,-0.8660254037844385,-0.5000000000000004
2002-09-30,24.133333333333333,34.24666666666667,27.896666666666665,73.1,5.12,1.932,1.4566666666666668,25.62,0.7559223176554563,-0.44783429475148007,-1.0,-1.8369701987210297e-16
2002-10-31,23.419354838709676,34.13870967741936,27.69677419354839,76.0,5.232258064516128,1.6974193548387095,1.1703225806451614,56.59,0.626936414275626,-0.2241854022034139,-0.8660254037844386,0.5000000000000001
2002-11-30,23.566666666666666,33.156666666666666,26.903333333333332,82.0,5.15,1.2863333333333336,0.9233333333333333,247.02,0.08619288125423011,0.30236892706218244,-0.5000000000000004,0.8660254037844384
2002-12-31,24.096774193548388,31.738709677419354,26.76451612903226,85.38709677419355,4.751612903225807,1.3864516129032256,1.0596774193548388,214.41,-0.5930573003500078,0.6442117015637786,-2.4492935982947064e-16,1.0
2003-01-31,24.161290322580644,31.406451612903226,26.712903225806453,84.38709677419355,4.016129032258065,1.9212903225806452,1.4122580645161291,159.28,-0.6253153648661368,0.7220895584145236,0.49999999999999994,0.8660254037844387
2003-02-28,23.75,30.75,26.189285714285713,86.21428571428571,3.8285714285714287,2.0653571428571427,1.5525,250.6,-0.7027739117737033,0.6670596260594172,0.8660254037844386,0.5000000000000001
2003-03-31,24.0,31.94193548387097,26.864516129032257,84.54838709677419,4.516129032258065,1.4990322580645161,1.0458064516129033,128.34,-0.5112658840295968,0.5757820130618546,1.0,6.123233995736766e-17
2003-04-30,24.233333333333334,32.03666666666667,27.040000000000003,85.83333333333333,5.073333333333333,1.1996666666666667,0.8626666666666666,168.26,0.06094757082487302,-0.26903559372884917,0.8660254037844387,-0.4999999999999998
2003-05-31,24.64516129032258,32.461290322580645,27.929032258064513,81.83870967741936,5.625806451612903,1.5174193548387096,1.1251612903225807,111.19,0.47509426004380184,-0.3059768185238248,0.49999999999999994,-0.8660254037844387
2003-06-30,23.833333333333332,33.07666666666667,27.803333333333335,77.43333333333334,6.953333333333333,1.6056666666666668,1.0946666666666667,50.68,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
2003-07-31,23.096774193548388,32.11290322580645,26.980645161290322,78.80645161290323,6.300000000000001,1.832258064516129,1.3241935483870966,62.73,0.6898314938983948,-0.6386770926846235,-0.4999999999999997,-0.8660254037844388
2003-08-31,24.096774193548388,33.05483870967742,27.61935483870968,75.0,6.003225806451613,1.7867741935483872,1.3012903225806454,89.99999999999999,0.7181759989448578,-0.5702474041826995,-0.8660254037844385,-0.5000000000000004
2003-09-30,23.9,32.71666666666667,27.31,78.73333333333333,5.083333333333333,1.8373333333333333,1.4,111.63000000000001,0.46164141349724996,-0.608781865576353,-1.0,-1.8369701987210297e-16
2003-10-31,23.903225806451612,32.77741935483871,27.274193548387096,80.45161290322581,5.72258064516129,1.49,1.1103225806451613,335.02,-0.06842968850192394,-0.49007703727177804,-0.8660254037844386,0.5000000000000001
2003-11-30,24.2,31.896666666666665,26.98,85.23333333333333,4.163333333333333,1.3223333333333334,1.0033333333333334,309.53,-0.5478342947514802,0.28688672392660697,-0.5000000000000004,0.8660254037844384
2003-12-31,24.193548387096776,30.55483870967742,26.54516129032258,87.35483870967742,3.7193548387096773,1.8758064516129032,1.3996774193548387,320.14,-0.7260031178841898,0.6158671965173154,-2.4492935982947064e-16,1.0
2004-01-31,24.258064516129032,30.793548387096774,26.44193548387097,87.03225806451613,3.864516129032258,2.0916129032258066,1.5593548387096776,208.44,-0.5340757801969048,0.7409858951121656,0.49999999999999994,0.8660254037844387
2004-02-29,24.03448275862069,31.56206896551724,26.593103448275862,85.27586206896552,4.058620689655172,2.003448275862069,1.5,249.0,-0.3758446529866093,0.6945564008183085,0.8660254037844386,0.5000000000000001
2004-03-31,23.838709677419356,32.13870967741936,26.906451612903226,87.45161290322581,4.516129032258065,1.4974193548387098,1.1319354838709679,256.47,-0.5568856763642128,0.6859179344287287,1.0,6.123233995736766e-17
2004-04-30,24.666666666666668,32.97666666666667,27.540000000000003,84.33333333333333,5.680000000000001,1.1763333333333332,0.818,137.85,0.3495093791412857,-0.3771236166328253,0.8660254037844387,-0.4999999999999998
2004-05-31,24.612903225806452,32.877419354838715,27.848387096774193,82.80645161290323,5.383870967741935,1.2461290322580647,0.9045161290322581,159.19,0.5246276118480836,-0.4979041562111097,0.49999999999999994,-0.8660254037844387
2004-06-30,24.2,32.7,27.853333333333335,78.06666666666666,6.553333333333333,1.6219999999999999,1.1913333333333334,65.19,0.6892556509887896,-0.6087818655763529,1.2246467991473532e-16,-1.0
2004-07-31,23.741935483870968,31.887096774193548,26.81935483870968,82.35483870967742,4.861290322580645,1.4106451612903226,0.9951612903225807,197.55,0.7071067811865476,-0.7071067811865475,-0.4999999999999997,-0.8660254037844388
2004-08-31,23.548387096774192,32.87096774193548,27.480645161290322,75.12903225806451,6.648387096774194,2.029677419354839,1.4748387096774194,4.85,0.7071067811865476,-0.7071067811865475,-0.8660254037844385,-0.5000000000000004
2004-09-30,23.933333333333334,34.083333333333336,27.9,75.9,5.973333333333333,1.9033333333333333,1.3723333333333334,65.65,0.6599663291074443,-0.6599663291074443,-1.0,-1.8369701987210297e-16
2004-10-31,23.70967741935484,33.59032258064516,27.5258064516129,77.70967741935483,5.051612903225807,1.4596774193548387,1.0625806451612902,222.63,0.03225806451612898,-0.02672345563697392,-0.8660254037844386,0.5000000000000001
2004-11-30,23.966666666666665,32.526666666666664,27.113333333333333,81.9,5.3533333333333335,1.4616666666666667,1.068,204.91,-0.5794925436950079,0.5990187582825712,-0.5000000000000004,0.8660254037844384
2004-12-31,24.032258064516128,31.151612903225807,26.5258064516129,84.96774193548387,4.012903225806451,1.9500000000000002,1.4587096774193549,266.37,-0.7071067811865477,0.7071067811865474,-2.4492935982947064e-16,1.0
2005-01-31,24.06451612903226,30.95483870967742,26.496774193548386,84.35483870967742,4.129032258064516,2.2138709677419355,1.6496774193548387,280.63,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
2005-02-28,24.5,31.87857142857143,27.182142857142857,83.75,4.739285714285714,1.7514285714285713,1.219642857142857,208.99,-0.2420776640375724,0.7864576885775466,0.8660254037844386,0.5000000000000001
2005-03-31,24.225806451612904,31.9,26.996774193548386,84.2258064516129,4.638709677419355,1.666774193548387,1.2187096774193549,403.75,-0.2375471300219011,0.7725724989776074,1.0,6.123233995736766e-17
2005-04-30,24.8,32.559999999999995,27.56,82.73333333333333,4.466666666666667,1.2306666666666668,0.8546666666666667,270.98,-0.05118446353109131,0.10404401145198804,0.8660254037844387,-0.4999999999999998
2005-05-31,24.838709677419356,32.91612903225806,28.080645161290324,81.6774193548387,5.712903225806452,1.4009677419354838,0.9893548387096774,269.72,0.5868512308201651,-0.32095959575180105,0.49999999999999994,-0.8660254037844387
2005-06-30,24.733333333333334,32.056666666666665,27.513333333333332,83.76666666666667,4.71,1.2779999999999998,0.9206666666666667,193.76,0.521895141649746,-0.20808802290397613,1.2246467991473532e-16,-1.0
2005-07-31,24.225806451612904,32.07741935483871,27.34193548387097,80.83870967741936,5.800000000000001,1.540967741935484,1.1174193548387097,153.2,0.535696829606394,-0.42556090823951986,-0.4999999999999997,-0.8660254037844388
2005-08-31,24.322580645161292,32.16451612903226,27.348387096774193,80.25806451612904,5.712903225806452,1.6535483870967742,1.2193548387096773,105.67,0.4389226360580069,-0.6969871521870391,-0.8660254037844385,-0.5000000000000004
2005-09-30,24.3,32.74666666666666,27.746666666666666,79.06666666666666,4.966666666666667,1.683,1.232,146.98,0.5080880229039763,-0.44142135623730944,-1.0,-1.8369701987210297e-16
2005-10-31,24.29032258064516,32.08064516129032,27.299999999999997,83.41935483870968,5.083870967741936,1.422258064516129,1.0238709677419355,240.55,0.3548387096774193,0.20137550603610596,-0.8660254037844386,0.5000000000000001
2005-11-30,23.966666666666665,31.153333333333332,26.95,86.2,3.0233333333333334,1.3706666666666665,1.0083333333333333,281.37,0.10404401145198806,0.023570226039551556,-0.5000000000000004,0.8660254037844384
2005-12-31,23.806451612903224,31.364516129032257,26.883870967741935,85.90322580645162,2.696774193548387,1.5864516129032258,1.1774193548387097,412.66,-0.5334043195462175,0.38547572478405906,-2.4492935982947064e-16,1.0
2006-01-31,23.64516129032258,30.62258064516129,26.312903225806455,86.96774193548387,3.8096774193548386,1.9496774193548387,1.4345161290322581,214.27,-0.420026299360365,0.8071230735539131,0.49999999999999994,0.8660254037844387
2006-02-28,24.214285714285715,31.75357142857143,26.92142857142857,86.60714285714286,5.064285714285715,1.9842857142857144,1.5025,315.83,-0.3387600490799491,0.817839104878988,0.8660254037844386,0.5000000000000001
2006-03-31,23.903225806451612,31.73225806451613,26.870967741935484,87.16129032258064,4.093548387096774,1.6780645161290324,1.2287096774193549,409.89,-0.38385467537457,0.8032095140842472,1.0,6.123233995736766e-17
2006-04-30,24.066666666666666,32.083333333333336,26.916666666666668,86.93333333333334,4.1466666666666665,1.1456666666666666,0.8496666666666666,375.13,-0.3552284749830795,0.6218951416497459,0.8660254037844387,-0.4999999999999998
2006-05-31,24.516129032258064,31.967741935483872,27.30322580645161,86.93548387096774,4.164516129032258,1.2025806451612904,0.8870967741935484,183.41,0.3493041007982642,-0.233633570552235,0.49999999999999994,-0.8660254037844387
2006-06-30,24.066666666666666,31.303333333333335,26.75,86.96666666666667,4.756666666666666,1.41,0.968,128.14,0.704044011451988,-0.023570226039551546,1.2246467991473532e-16,-1.0
