,RMSE,MAE,R2
TN,0.40568,0.328111,0.428119
TX,0.535499,0.449866,0.619914
TAVG,0.742264,0.513425,0.254726
RH_AVG,2.641954,2.13281,0.599282
SS,1.09154,0.718083,0.468151
FF_X,0.172978,0.136835,0.634767
FF_AVG,0.141811,0.110015,0.610822
RR,100.905482,66.098597,0.288764
DDD_X_sin,0.254936,0.204115,0.762524
DDD_X_cos,0.380543,0.303719,-1.472605
month_sin,0.109015,0.085652,0.976232
month_cos,0.124787,0.109945,0.968856
